,CONDITION,TYPE,Roadname,System ID,PCI,Distress Description
0,POOR,CONCRETE,E 10th ST,r4652,70.0,WEATHERING
1,POOR,CONCRETE,E 10th ST,r4652,70.0,ALLIGATOR CRACKING
2,POOR,CONCRETE,E 10th ST,r4652,70.0,LONGITUDINAL/TRANSVERSE CRACKING
3,POOR,CONCRETE,E 11th ST,r476,48.0,PATCH/UTILITY CUT
4,POOR,CONCRETE,E 11th ST,r476,48.0,LONGITUDINAL/TRANSVERSE CRACKING
5,POOR,CONCRETE,E 11th ST,r476,48.0,ALLIGATOR CRACKING
6,POOR,CONCRETE,E 11th ST,r476,48.0,WEATHERING
7,POOR,CONCRETE,E 11th ST,r476,48.0,ALLIGATOR CRACKING
8,POOR,CONCRETE,E 12th ST,q4757,72.0,LONGITUDINAL/TRANSVERSE CRACKING
9,POOR,CONCRETE,E 12th ST,q4757,72.0,PATCH/UTILITY CUT
10,POOR,CONCRETE,E 12th ST,q4757,72.0,ALLIGATOR CRACKING
11,POOR,CONCRETE,E 12th ST,q4757,72.0,WEATHERING
12,POOR,PAVER,E 13th ST,r4712,56.0,ALLIGATOR CRACKING
13,POOR,PAVER,E 13th ST,r4712,56.0,WEATHERING
14,POOR,PAVER,E 13th ST,r4740,18.0,WEATHERING
15,POOR,PAVER,E 13th ST,r4740,18.0,PATCH/UTILITY CUT
16,POOR,PAVER,E 13th ST,r4740,18.0,RUTTING
17,POOR,PAVER,E 13th ST,r4740,18.0,ALLIGATOR CRACKING
18,POOR,PAVER,E 14th ST,r4716,33.0,ALLIGATOR CRACKING
19,POOR,PAVER,E 14th ST,r4716,33.0,LONGITUDINAL/TRANSVERSE CRACKING
20,POOR,PAVER,E 14th ST,r4716,33.0,WEATHERING
21,POOR,PAVER,E 14th ST,r4716,33.0,EDGE CRACKING
22,POOR,PAVER,E 14th ST,r4717,30.0,LONGITUDINAL/TRANSVERSE CRACKING
23,POOR,PAVER,E 14th ST,r4717,30.0,ALLIGATOR CRACKING
24,POOR,PAVER,E 14th ST,r4717,30.0,ALLIGATOR CRACKING
25,POOR,PAVER,E 14th ST,r4717,30.0,WEATHERING
26,POOR,CONCRETE,E 15th ST,q4779,36.0,ALLIGATOR CRACKING
27,POOR,CONCRETE,E 15th ST,q4779,36.0,BLOCK CRACKING
28,POOR,CONCRETE,E 15th ST,q4779,36.0,ALLIGATOR CRACKING
29,POOR,CONCRETE,E 15th ST,q4779,36.0,WEATHERING
30,POOR,CONCRETE,E 15th ST,q4780,36.0,BLOCK CRACKING
31,POOR,CONCRETE,E 15th ST,q4780,36.0,ALLIGATOR CRACKING
32,POOR,CONCRETE,E 15th ST,q4780,36.0,WEATHERING
33,POOR,CONCRETE,E 15th ST,q4780,36.0,ALLIGATOR CRACKING
34,POOR,CONCRETE,E 15th ST,q4780,36.0,BLOCK CRACKING
35,POOR,CONCRETE,E 15th ST,q4780,36.0,ALLIGATOR CRACKING
36,POOR,CONCRETE,E 15th ST,q4780,36.0,WEATHERING
37,POOR,CONCRETE,E 15th ST,q4780,36.0,ALLIGATOR CRACKING
38,POOR,CONCRETE,E 15th ST,q4781,36.0,BLOCK CRACKING
39,POOR,CONCRETE,E 15th ST,q4781,36.0,WEATHERING
40,POOR,CONCRETE,E 15th ST,q4781,36.0,ALLIGATOR CRACKING
41,POOR,CONCRETE,E 15th ST,q4781,36.0,ALLIGATOR CRACKING
42,POOR,CONCRETE,E 15th ST,q4782,36.0,WEATHERING
43,POOR,CONCRETE,E 15th ST,q4782,36.0,BLOCK CRACKING
44,POOR,CONCRETE,E 15th ST,q4782,36.0,ALLIGATOR CRACKING
45,POOR,CONCRETE,E 15th ST,q4782,36.0,ALLIGATOR CRACKING
46,POOR,CONCRETE,E 16th ST,q4784,65.0,WEATHERING
47,POOR,CONCRETE,E 16th ST,q4784,65.0,ALLIGATOR CRACKING
48,POOR,CONCRETE,E 16th ST,q4784,65.0,PATCH/UTILITY CUT
49,POOR,CONCRETE,E 16th ST,q4784,65.0,LONGITUDINAL/TRANSVERSE CRACKING
50,POOR,CONCRETE,E 16th ST,q4784,65.0,LONGITUDINAL/TRANSVERSE CRACKING
51,POOR,CONCRETE,E 16th ST,q4784,65.0,WEATHERING
52,POOR,CONCRETE,E 16th ST,q4784,65.0,ALLIGATOR CRACKING
53,POOR,CONCRETE,E 16th ST,q4784,65.0,PATCH/UTILITY CUT
54,POOR,CONCRETE,E 16th ST,q4784,65.0,LONGITUDINAL/TRANSVERSE CRACKING
55,POOR,CONCRETE,E 16th ST,q4784,65.0,LONGITUDINAL/TRANSVERSE CRACKING
56,POOR,CONCRETE,E 16th ST,q4785,42.0,LONGITUDINAL/TRANSVERSE CRACKING
57,POOR,CONCRETE,E 16th ST,q4785,42.0,ALLIGATOR CRACKING
58,POOR,CONCRETE,E 16th ST,q4785,42.0,ALLIGATOR CRACKING
59,POOR,CONCRETE,E 16th ST,q4785,42.0,WEATHERING
60,POOR,CONCRETE,E 16th ST,q4785,42.0,LONGITUDINAL/TRANSVERSE CRACKING
61,POOR,CONCRETE,E 16th ST,q4785,42.0,ALLIGATOR CRACKING
62,POOR,CONCRETE,E 16th ST,q4785,42.0,ALLIGATOR CRACKING
63,POOR,CONCRETE,E 16th ST,q4785,42.0,WEATHERING
64,POOR,CONCRETE,E 16th ST,q4786,68.0,LONGITUDINAL/TRANSVERSE CRACKING
65,POOR,CONCRETE,E 16th ST,q4786,68.0,PATCH/UTILITY CUT
66,POOR,CONCRETE,E 16th ST,q4786,68.0,ALLIGATOR CRACKING
67,POOR,CONCRETE,E 16th ST,q4786,68.0,WEATHERING
68,POOR,CONCRETE,E 16th ST,q4786,68.0,LONGITUDINAL/TRANSVERSE CRACKING
69,POOR,CONCRETE,E 16th ST,q4786,68.0,PATCH/UTILITY CUT
70,POOR,CONCRETE,E 16th ST,q4786,68.0,ALLIGATOR CRACKING
71,POOR,CONCRETE,E 16th ST,q4786,68.0,WEATHERING
72,POOR,CONCRETE,E 16th ST,q4786,68.0,LONGITUDINAL/TRANSVERSE CRACKING
73,POOR,CONCRETE,E 16th ST,q4786,68.0,PATCH/UTILITY CUT
74,POOR,CONCRETE,E 16th ST,q4786,68.0,ALLIGATOR CRACKING
75,POOR,CONCRETE,E 16th ST,q4786,68.0,WEATHERING
76,POOR,CONCRETE,E 16th ST,q4787,69.0,WEATHERING
77,POOR,CONCRETE,E 16th ST,q4787,69.0,ALLIGATOR CRACKING
78,POOR,CONCRETE,E 16th ST,q4787,69.0,LONGITUDINAL/TRANSVERSE CRACKING
79,POOR,CONCRETE,E 1st ST,r4415,65.0,LONGITUDINAL/TRANSVERSE CRACKING
80,POOR,CONCRETE,E 1st ST,r4415,65.0,LONGITUDINAL/TRANSVERSE CRACKING
81,POOR,CONCRETE,E 1st ST,r4415,65.0,WEATHERING
82,POOR,CONCRETE,E 1st ST,r4415,65.0,LONGITUDINAL/TRANSVERSE CRACKING
83,POOR,CONCRETE,E 1st ST,r4415,65.0,PATCH/UTILITY CUT
84,POOR,CONCRETE,E 1st ST,r4415,65.0,LONGITUDINAL/TRANSVERSE CRACKING
85,POOR,CONCRETE,E 1st ST,r4415,65.0,ALLIGATOR CRACKING
86,POOR,CONCRETE,E 1st ST,r4415,65.0,ALLIGATOR CRACKING
87,POOR,CONCRETE,E 1st ST,r4415,65.0,WEATHERING
88,POOR,CONCRETE,E 1st ST,r4419,92.0,WEATHERING
89,POOR,CONCRETE,E 1st ST,r4419,92.0,LONGITUDINAL/TRANSVERSE CRACKING
90,POOR,CONCRETE,E 2nd ST,q4410,57.0,WEATHERING
91,POOR,CONCRETE,E 2nd ST,q4410,57.0,ALLIGATOR CRACKING
92,POOR,CONCRETE,E 2nd ST,q4410,57.0,LONGITUDINAL/TRANSVERSE CRACKING
93,POOR,CONCRETE,E 2nd ST,r441,82.0,WEATHERING
94,POOR,CONCRETE,E 2nd ST,r441,82.0,PATCH/UTILITY CUT
95,POOR,CONCRETE,E 2nd ST,r441,82.0,LONGITUDINAL/TRANSVERSE CRACKING
96,POOR,CONCRETE,E 2nd ST,r441,82.0,LONGITUDINAL/TRANSVERSE CRACKING
97,POOR,CONCRETE,E 2nd ST,r441,82.0,WEATHERING
98,POOR,CONCRETE,E 2nd ST,r441,82.0,LONGITUDINAL/TRANSVERSE CRACKING
99,POOR,CONCRETE,E 2nd ST,r441,82.0,PATCH/UTILITY CUT
100,POOR,CONCRETE,E 2nd ST,r442,48.0,BLOCK CRACKING
101,POOR,CONCRETE,E 2nd ST,r442,48.0,WEATHERING
102,POOR,CONCRETE,E 2nd ST,r442,48.0,ALLIGATOR CRACKING
103,POOR,CONCRETE,E 2nd ST,r442,48.0,BLOCK CRACKING
104,POOR,CONCRETE,E 2nd ST,r442,48.0,WEATHERING
105,POOR,CONCRETE,E 2nd ST,r442,48.0,ALLIGATOR CRACKING
106,POOR,CONCRETE,E 2nd ST,r442,48.0,BLOCK CRACKING
107,POOR,CONCRETE,E 2nd ST,r442,48.0,WEATHERING
108,POOR,CONCRETE,E 2nd ST,r442,48.0,ALLIGATOR CRACKING
109,POOR,CONCRETE,E 2nd ST,r443,60.0,WEATHERING
110,POOR,CONCRETE,E 2nd ST,r443,60.0,ALLIGATOR CRACKING
111,POOR,CONCRETE,E 2nd ST,r443,60.0,BLOCK CRACKING
112,POOR,CONCRETE,E 2nd ST,r443,60.0,LONGITUDINAL/TRANSVERSE CRACKING
113,POOR,CONCRETE,E 2nd ST,r443,60.0,ALLIGATOR CRACKING
114,POOR,CONCRETE,E 2nd ST,r443,60.0,WEATHERING
115,POOR,CONCRETE,E 2nd ST,r443,60.0,LONGITUDINAL/TRANSVERSE CRACKING
116,POOR,CONCRETE,E 2nd ST,r444,55.0,WEATHERING
