OBJECTID,ASSETID,CONDITION,TYPE,Roadname,SECTIONID,Length (ft),Length (mi),BACKIMAGE,VIEWER,IntVIEWER
4296,SW4303,GOOD,CONCRETE,E 10th ST,q4664,100.9,0.019,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001147.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1147,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1147
4297,SW4304,GOOD,CONCRETE,E 10th ST,q4664,7.29,0.001,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001150.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1150,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1150
5368,SW5377,GOOD,CONCRETE,E 10th ST,q4664,141.15,0.027,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002713.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2713,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2713
5369,SW5378,GOOD,CONCRETE,E 10th ST,q4664,147.79,0.028,http://98.103.168.235/Bloomington/120517/6/Back/ladybug_panoramic_002723.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2723,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120517/truck/0/session/6/image/2723
4298,SW4305,FAIR,CONCRETE,E 10th ST,q4664,147.41,0.028,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001151.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1151,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1151
4302,SW4309,GOOD,CONCRETE,E 10th ST,q4666,36.38,0.007,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001172.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1172,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1172
4303,SW4310,GOOD,CONCRETE,E 10th ST,q4666,139.06,0.026,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001181.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1181,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1181
4299,SW4306,FAIR,CONCRETE,E 10th ST,q4666,16.06,0.003,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001173.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1173,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1173
4300,SW4307,FAIR,CONCRETE,E 10th ST,q4666,23.26,0.004,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001170.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1170,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1170
4301,SW4308,FAIR,CONCRETE,E 10th ST,q4666,100.69,0.019,http://98.103.168.235/Bloomington/120317/3/Back/ladybug_panoramic_001168.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1168,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120317/truck/0/session/3/image/1168
