Branch ID,Name,Section ID,System ID,From,To,True Area (Ft2),Length (Ft),PCI,Sample Number,Distress Description,Quantity,Quantity Units,Severity
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025,393.76,54,3788,BLOCK CRACKING,2040,SqFt,L
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025,393.76,54,3788,WEATHERING,2543,SqFt,M
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025,393.76,54,3788,BLOCK CRACKING,500,SqFt,M
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025,393.76,54,3788,POTHOLE,2,Count,L
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025,393.76,54,3788,PATCH/UTILITY CUT,5,SqFt,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1961,WEATHERING,2156,SqFt,M
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1961,ALLIGATOR CRACKING,125,SqFt,H
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1961,LONGITUDINAL/TRANSVERSE CRACKING,90,Ft,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1962,LONGITUDINAL/TRANSVERSE CRACKING,100,Ft,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1962,WEATHERING,2156,SqFt,M
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1962,ALLIGATOR CRACKING,70,SqFt,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454,747.92,56,1962,EDGE CRACKING,180,Ft,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668,645.88,83,1963,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668,645.88,83,1963,ALLIGATOR CRACKING,80,SqFt,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668,645.88,83,1963,LONGITUDINAL/TRANSVERSE CRACKING,120,Ft,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668,645.88,83,1964,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668,645.88,83,1964,LONGITUDINAL/TRANSVERSE CRACKING,90,Ft,L
E10THST,E 10TH ST,1632,r4655,10TH ST & JORDAN AVE,10TH ST & CAMPBELL ST,15006,484.08,93,1975,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1632,r4655,10TH ST & JORDAN AVE,10TH ST & CAMPBELL ST,15006,484.08,93,1975,LONGITUDINAL/TRANSVERSE CRACKING,70,Ft,L
E10THST,E 10TH ST,1632,r4655,10TH ST & JORDAN AVE,10TH ST & CAMPBELL ST,15006,484.08,93,1976,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1977,BLOCK CRACKING,1400,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1977,ALLIGATOR CRACKING,155,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1977,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1978,LONGITUDINAL/TRANSVERSE CRACKING,65,Ft,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1978,PATCH/UTILITY CUT,100,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1978,ALLIGATOR CRACKING,125,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1978,WEATHERING,2448,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1979,LONGITUDINAL/TRANSVERSE CRACKING,70,Ft,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1979,ALLIGATOR CRACKING,60,SqFt,M
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1979,LONGITUDINAL/TRANSVERSE CRACKING,100,Ft,M
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1979,PATCH/UTILITY CUT,30,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1979,ALLIGATOR CRACKING,150,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648,956.4,60,1979,WEATHERING,2518,SqFt,L
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1980,ALLIGATOR CRACKING,200,SqFt,L
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1980,LONGITUDINAL/TRANSVERSE CRACKING,75,Ft,M
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1980,LONGITUDINAL/TRANSVERSE CRACKING,50,Ft,L
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1980,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1981,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1981,ALLIGATOR CRACKING,75,SqFt,L
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1981,LONGITUDINAL/TRANSVERSE CRACKING,100,Ft,M
E10THST,E 10TH ST,1634,r4653,10TH ST & WALNUT GROVE AVE,10TH ST & FEE LN,14536,559.06,65,1981,LONGITUDINAL/TRANSVERSE CRACKING,100,Ft,L
E10THST,E 10TH ST,1635,r4652,10TH ST & FORREST AVE,10TH ST & WALNUT GROVE AVE,10218,393,70,1982,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1635,r4652,10TH ST & FORREST AVE,10TH ST & WALNUT GROVE AVE,10218,393,70,1982,ALLIGATOR CRACKING,150,SqFt,L
E10THST,E 10TH ST,1635,r4652,10TH ST & FORREST AVE,10TH ST & WALNUT GROVE AVE,10218,393,70,1982,LONGITUDINAL/TRANSVERSE CRACKING,90,Ft,L
E10THST,E 10TH ST,1636,r4651,10TH ST & WOODLAWN AVE,10TH ST & FORREST AVE,10821,318.27,95,1983,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1637,r4650,10TH ST & PARK AVE,10TH ST & WOODLAWN AVE,9098,324.92,95,1984,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1638,q4673,10TH ST & FESS AVE,10TH ST & PARK AVE,8480,326.14,67,1985,WEATHERING,2548,SqFt,L
E10THST,E 10TH ST,1638,q4673,10TH ST & FESS AVE,10TH ST & PARK AVE,8480,326.14,67,1985,LONGITUDINAL/TRANSVERSE CRACKING,80,Ft,L
