DATE,CONTROL #,INVOICE #,BILLED TO,ADDRESS,STREET SIDE,SIDEWALK   CURB     MONO       H/C RAMP GUTTER   DRIVEWAY    STREET CUT,LENGTH IN FEET,WIDTH,# of Ramps,YARDS,Plates/Str,Plates/Radius,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,DATE INSPECTED,Unnamed Column 10
04/04/2018 12:00:00 AM,13715038,10531664,Street,4105 Saratoga,Same,Curb,20,2,,1,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,330 S Eastside Drive,NW Corner,Curb,15,6,,0.5,,,,,,,,,,,,,,
07/12/2018 12:00:00 AM,13038727,10581988,Street,312 W 14th Street,NE Corner,Curb,20,6,,2,,,,,,,,,,,,,,
07/16/2018 12:00:00 AM,13038842,10583684,Street,920 N Madison Street,SE Corner,Curb,8,6,,1.5,,,,,,,,,,,,,,
07/17/2018 12:00:00 AM,13715699,10584482,Street,925 N Madison Street,SW Corner,Curb,10,6,,1,,,,,,,,,,,,,,
07/17/2018 12:00:00 AM,13715699,10584482,Street,1001 N Madison Street,NW Corner,Curb,5,6,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Curb,14,6,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Curb,10,6,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Curb,14,6,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Curb,10,6,,0.5,,,,,,,,,,,,,,
08/02/2018 12:00:00 AM,15817740,10593538,Street,326 W Kenwood,NE Corner,Curb,18,6,,2.5,,,,,,,,,,,,,,
08/06/2018 12:00:00 AM,13039486,10595350,Street,1218 N Madison,SE Corner,Curb,20,6,,1.5,,,,,,,,,,,,,,
08/01/2018 12:00:00 AM,13039338,10592681,Street,1200 N Madison,NE Corner,Curb,10,6,,0.5,,,,,,,,,,,,,,
08/01/2018 12:00:00 AM,13039338,10592681,Street,1122 N Madison,SE Corner,Curb,10,6,,0.5,,,,,,,,,,,,,,
08/14/2018 12:00:00 AM,15818014,10599875,Street,202 E 15th Street,SE Corner,Curb,7,6,,0.5,,,,,,,,,,,,,,
08/22/2018 12:00:00 AM,13039803,10603124,Street,108 E 15th Street,,Curb,37,6,,3,,,,,,,,,,,,,,
08/23/2018 12:00:00 AM,13039854,10604077,Street,110 E 15th Street,,Curb,17,6,,1,,,,,,,,,,,,,,
09/26/2018 12:00:00 AM,15818727,10620820,Street,426 E 15th Street,SW Corner,Curb,16,6,,1.5,,,,,,,,,,,,,,
10/08/2018 12:00:00 AM,15819022,10627370,Street,1514 E Elliston Drive,same,Curb,50,2,,3,,,,,,,,,,,,,,
10/09/2018 12:00:00 AM,15819060,10628211,Street,1514 E Elliston Drive,same,Curb,20,2,,2.5,,,,,,,,,,,,,,
10/03/2018 12:00:00 AM,13040788,10625313,Street,1504 E Ellison Drive,same,Curb,87,2,,4.5,,,,,,,,,,,,,,
10/05/2018 12:00:00 AM,15818974,10626579,Street,1504 E Ellison Drive,same,Curb,80,2,,4.5,,,,,,,,,,,,,,
08/22/2018 12:00:00 AM,13039803,10603124,Street,108 E 15th Street,,Driveway,12,5,,1.5,,,,,,,,,,,,,,
08/23/2018 12:00:00 AM,13039854,10604077,Street,110 E 15th Street,,Driveway,12,10,,1.5,,,,,,,,,,,,,,
10/05/2018 12:00:00 AM,15818974,10626579,Street,1504 E Ellison Drive,same,Driveway,24,2,,1.5,,,,,,,,,,,,,,
11/07/2018 12:00:00 AM,13041501,10643278,Street,730 W Howe Street,Maple,Driveway,23,5,,3.5,,,,,,,,,,,,,,
03/15/2018 12:00:00 AM,13714726,10526029,Street,1201 E 3rd Street,Same,Gutter,10,18,,0.5,3,,,,,,,,,,,,,
03/07/2018 12:00:00 AM,13714473,10523188,Street,E. 2nd Street & S High Street,NE Corner,Gutter,26,18,,0.5,,,,,,,,,,,,,,
03/13/2018 12:00:00 AM,13714636,10524985,Street,2106 E 2nd Street,SE Corner,Gutter,74,16,,1,,,,,,,,,,,,,,
06/19/2018 12:00:00 AM,13715389,10568859,Street,431 S Clifton,SW Corner,Gutter,20,18,,0.5,,,,,,,,,,,,,,
06/18/2018 12:00:00 AM,13715389,10568859,Street,1925 E Atwater,NW Corner,Gutter,18,18,,0.5,,4,,,,,,,,,,,,
06/20/2018 12:00:00 AM,15716647,10570284,Street,401 S Eastside Drive,SW Corner,Gutter,27,12,,0.5,,,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,316 S High Street,NW Corner,Gutter,12,18,,0.5,,,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,400 South High Street,SW Corner,Gutter,20,18,,0.5,,,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,2000 E Atwater,SE Corner,Gutter,25,18,,0.5,,,,,,,,,,,,,,
07/05/2018 12:00:00 AM,13038434,10577632,Street,398 S Mitchell,NW Corner,Gutter,21,16,,0.5,,,,,,,,,,,,,,
